id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
250,Lafayette St & Jersey St,30,40,40.72456089,-73.99565293,In Service,1,7,Lafayette St & Jersey St,,,,,,false,2020-02-22 10:47:55 AM,
251,Mott St & Prince St,3,27,40.72317958,-73.99480012,In Service,1,23,Mott St & Prince St,,,,,,false,2020-02-22 10:49:33 AM,
252,MacDougal St & Washington Sq,4,33,40.73226398,-73.99852205,In Service,1,28,MacDougal St & Washington Sq,,,,,,false,2020-02-22 10:49:33 AM,
254,W 11 St & 6 Ave,15,59,40.73532427,-73.99800419,In Service,1,43,W 11 St & 6 Ave,,,,,,false,2020-02-22 10:49:38 AM,
257,Lispenard St & Broadway,14,39,40.71939226,-74.00247214,In Service,1,24,Lispenard St & Broadway,,,,,,false,2020-02-22 10:48:41 AM,
258,DeKalb Ave & Vanderbilt Ave,4,23,40.68940747,-73.96885458,In Service,1,18,DeKalb Ave & Vanderbilt Ave,,,,,,false,2020-02-22 10:49:47 AM,
259,South St & Whitehall St,8,39,40.70122128,-74.01234218,In Service,1,29,South St & Whitehall St,,,,,,false,2020-02-22 10:47:38 AM,
260,Broad St & Bridge St,15,33,40.70365182,-74.01167797,In Service,1,18,Broad St & Bridge St,,,,,,false,2020-02-22 10:47:50 AM,
261,Johnson St & Gold St,10,27,40.69474881,-73.98362464,In Service,1,17,Johnson St & Gold St,,,,,,false,2020-02-22 10:50:19 AM,
262,Washington Park,17,24,40.6917823,-73.9737299,In Service,1,6,Washington Park,,,,,,false,2020-02-22 10:47:10 AM,
264,Maiden Ln & Pearl St,14,27,40.70706456,-74.00731853,In Service,1,12,Maiden Ln & Pearl St,,,,,,false,2020-02-22 10:50:20 AM,
265,Stanton St & Chrystie St,29,35,40.72229346,-73.99147535,In Service,1,5,Stanton St & Chrystie St,,,,,,false,2020-02-22 10:49:28 AM,
267,Broadway & W 36 St,70,78,40.75097711,-73.98765428,In Service,1,7,Broadway & W 36 St,,,,,,false,2020-02-22 10:50:25 AM,
268,Howard St & Centre St,17,27,40.71910537,-73.99973337,In Service,1,9,Howard St & Centre St,,,,,,false,2020-02-22 10:49:02 AM,
270,Adelphi St & Myrtle Ave,22,23,40.69308257,-73.97178913,In Service,1,1,Adelphi St & Myrtle Ave,,,,,,false,2020-02-22 10:48:31 AM,
274,Lafayette Ave & Fort Greene Pl,5,31,40.68691865,-73.976682,In Service,1,26,Lafayette Ave & Fort Greene Pl,,,,,,false,2020-02-22 10:50:18 AM,
275,Washington Ave & Greene Ave,12,19,40.68650065,-73.96563307,In Service,1,6,Washington Ave & Greene Ave,,,,,,false,2020-02-22 10:49:41 AM,
276,Duane St & Greenwich St,6,25,40.71748752,-74.0104554,In Service,1,17,Duane St & Greenwich St,,,,,,false,2020-02-22 10:48:33 AM,
278,Concord St & Bridge St,8,19,40.69766564,-73.98476437,In Service,1,11,Concord St & Bridge St,,,,,,false,2020-02-22 10:50:16 AM,
280,E 10 St & 5 Ave,12,59,40.73331967,-73.99510132,In Service,1,45,E 10 St & 5 Ave,,,,,,false,2020-02-22 10:47:30 AM,
281,Grand Army Plaza & Central Park S,23,66,40.7643971,-73.97371465,In Service,1,43,Grand Army Plaza & Central Park S,,,,,,false,2020-02-22 10:50:26 AM,
282,Kent Ave & S 11 St,23,27,40.707644944175705,-73.96841526031494,In Service,1,3,Kent Ave & S 11 St,,,,,,false,2020-02-22 10:47:31 AM,
284,Greenwich Ave & 8 Ave,32,43,40.7390169121,-74.0026376103,In Service,1,9,Greenwich Ave & 8 Ave,,,,,,false,2020-02-22 10:50:06 AM,
285,Broadway & E 14 St,20,53,40.73454567,-73.99074142,In Service,1,31,Broadway & E 14 St,,,,,,false,2020-02-22 10:48:21 AM,
289,Monroe St & Classon Ave,18,19,40.6845683,-73.95881081,In Service,1,1,Monroe St & Classon Ave,,,,,,false,2020-02-22 10:47:58 AM,
291,Madison St & Montgomery St,8,20,40.713126,-73.984844,In Service,1,12,Madison St & Montgomery St,,,,,,false,2020-02-22 10:47:31 AM,
293,Lafayette St & E 8 St,13,55,40.73020660529954,-73.99102628231049,In Service,1,41,Lafayette St & E 8 St,,,,,,false,2020-02-22 10:50:10 AM,
295,Pike St & E Broadway,15,24,40.71406667,-73.99293911,In Service,1,9,Pike St & E Broadway,,,,,,false,2020-02-22 10:47:45 AM,
297,E 15 St & 3 Ave,18,27,40.734232,-73.986923,In Service,1,7,E 15 St & 3 Ave,,,,,,false,2020-02-22 10:46:44 AM,
298,3 Ave & Schermerhorn St,17,35,40.68683208,-73.9796772,In Service,1,18,3 Ave & Schermerhorn St,,,,,,false,2020-02-22 10:48:46 AM,
301,E 2 St & Avenue B,22,58,40.72217444,-73.98368779,In Service,1,35,E 2 St & Avenue B,,,,,,false,2020-02-22 10:49:39 AM,
302,Avenue D & E 3 St,10,23,40.72082834,-73.97793172,In Service,1,13,Avenue D & E 3 St,,,,,,false,2020-02-22 10:46:49 AM,
303,Mercer St & Spring St,46,67,40.72362738,-73.99949601,In Service,1,21,Mercer St & Spring St,,,,,,false,2020-02-22 10:47:41 AM,
304,Broadway & Battery Pl,2,33,40.70463334,-74.01361706,In Service,1,30,Broadway & Battery Pl,,,,,,false,2020-02-22 10:47:03 AM,
305,E 58 St & 3 Ave,33,33,40.76095756,-73.96724467,Not In Service,3,0,E 58 St & 3 Ave,,,,,,false,2020-02-22 10:49:54 AM,
307,Canal St & Rutgers St,24,30,40.71427487,-73.98990025,In Service,1,6,Canal St & Rutgers St,,,,,,false,2020-02-22 10:49:08 AM,
308,St James Pl & Oliver St,0,27,40.71307916,-73.99851193,In Service,1,27,St James Pl & Oliver St,,,,,,false,2020-02-22 10:47:20 AM,
309,Murray St & West St,29,41,40.7149787,-74.013012,In Service,1,12,Murray St & West St,,,,,,false,2020-02-22 10:50:25 AM,
310,State St & Smith St,28,36,40.68926942,-73.98912867,In Service,1,8,State St & Smith St,,,,,,false,2020-02-22 10:49:41 AM,
311,Norfolk St & Broome St,4,31,40.7172274,-73.98802084,In Service,1,27,Norfolk St & Broome St,,,,,,false,2020-02-22 10:48:42 AM,
